IATA,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
BGR,8155.0,4077.0,4078.0,60.46,60.46,64.37,44.08,219.54,4.39,6.6,181.0,8.0,2.0,2.0,4.0
ABE,8140.0,4071.0,4069.0,86.48,86.48,87.24,59.85,368.03,2.84,4.41,111.0,8.0,8.0,7.0,15.0
BZN,8085.0,4043.0,4042.0,91.97,91.97,93.2,131.85,526.0,3.11,2.55,50.0,4.0,8.0,7.0,15.0
ACV,8024.0,4027.0,3997.0,60.48,60.48,63.94,115.01,210.5,8.74,1.8,112.0,7.0,3.0,4.0,7.0
LFT,7930.0,3966.0,3964.0,70.97,70.97,71.34,51.56,263.79,5.19,2.02,60.0,11.0,10.0,7.0,17.0
EUG,7883.0,3949.0,3934.0,65.59,65.59,68.43,117.54,330.61,6.99,1.87,76.0,0.0,4.0,5.0,9.0
MBS,7880.0,3939.0,3941.0,60.63,60.63,59.21,38.13,182.47,2.47,6.52,118.0,0.0,3.0,3.0,6.0
GJT,7764.0,3881.0,3883.0,61.89,61.89,66.74,120.21,214.91,8.26,3.14,72.0,2.0,6.0,22.0,28.0
CHA,7672.0,3836.0,3836.0,65.61,65.61,64.71,47.56,221.81,3.95,9.99,126.0,3.0,7.0,13.0,20.0
PIA,7515.0,3758.0,3757.0,69.48,69.48,69.43,56.05,266.6,5.72,8.26,149.0,1.0,5.0,6.0,11.0
TLH,7469.0,3734.0,3735.0,78.47,78.47,79.74,95.29,324.61,6.32,7.73,35.0,5.0,9.0,5.0,14.0
AVL,7363.0,3680.0,3683.0,74.41,74.41,74.19,55.21,281.23,5.17,8.81,151.0,4.0,6.0,7.0,13.0
MGM,7285.0,3645.0,3640.0,73.54,73.54,74.09,57.22,289.45,10.76,12.54,52.0,6.0,7.0,8.0,15.0
MLU,7020.0,3509.0,3511.0,76.21,76.21,78.22,65.71,348.97,2.96,3.66,50.0,4.0,6.0,6.0,12.0
ILM,6670.0,3337.0,3333.0,71.54,71.54,75.54,51.28,293.39,0.85,3.6,86.0,4.0,5.0,3.0,8.0
IDA,6631.0,3317.0,3314.0,47.95,47.95,51.9,45.44,187.92,3.92,2.14,68.0,2.0,5.0,10.0,15.0
FSD,6613.0,3305.0,3308.0,73.68,73.68,75.89,71.48,333.12,2.95,7.09,84.0,6.0,6.0,3.0,9.0
MSO,6533.0,3268.0,3265.0,100.62,100.62,103.3,134.94,627.01,1.82,3.47,32.0,7.0,5.0,6.0,11.0
AEX,6524.0,3261.0,3263.0,67.13,67.13,71.3,47.57,272.97,4.29,2.61,77.0,12.0,12.0,7.0,19.0
CLL,6506.0,3255.0,3251.0,54.73,54.73,55.99,45.64,125.01,-0.5,0.11,59.0,0.0,2.0,3.0,5.0
FNT,6491.0,3246.0,3245.0,97.52,97.52,95.74,76.92,490.49,2.88,6.86,30.0,4.0,7.0,7.0,14.0
PFN,6486.0,3242.0,3244.0,77.58,77.58,78.33,71.26,279.43,7.19,14.18,59.0,4.0,8.0,4.0,12.0
AZO,6404.0,3202.0,3202.0,53.24,53.24,53.67,35.65,157.7,2.05,5.86,148.0,2.0,3.0,3.0,6.0
PSC,6351.0,3174.0,3177.0,84.08,84.08,86.29,144.59,500.59,3.15,2.97,49.0,4.0,8.0,5.0,13.0
SUN,6318.0,3201.0,3117.0,55.24,55.24,60.39,75.11,220.02,3.75,-0.43,217.0,10.0,3.0,2.0,5.0
STT,6231.0,3116.0,3115.0,178.43,178.43,179.39,155.98,1136.52,3.45,6.13,30.0,12.0,9.0,10.0,19.0
SGU,6208.0,3107.0,3101.0,74.85,74.85,77.82,157.43,278.41,5.38,2.81,37.0,5.0,6.0,4.0,10.0
MFE,6125.0,3063.0,3062.0,80.64,80.64,79.76,61.87,380.51,0.36,3.47,28.0,5.0,2.0,2.0,4.0
SBN,6055.0,3027.0,3028.0,71.61,71.61,73.55,53.49,289.26,6.41,20.19,86.0,2.0,5.0,7.0,12.0
TYR,6047.0,3025.0,3022.0,52.4,52.4,55.17,40.44,109.95,-2.1,-0.2,63.0,0.0,3.0,2.0,5.0
DAB,6028.0,3013.0,3015.0,104.88,104.88,102.68,96.3,523.22,10.73,6.2,40.0,11.0,6.0,6.0,12.0
EKO,5998.0,3007.0,2991.0,55.4,55.4,60.33,86.09,211.49,5.09,1.46,61.0,1.0,2.0,3.0,5.0
TRI,5960.0,2980.0,2980.0,68.19,68.19,68.58,50.47,223.65,5.89,9.57,121.0,2.0,5.0,3.0,8.0
BFL,5514.0,2758.0,2756.0,50.5,50.5,56.47,67.52,147.29,4.82,-1.13,51.0,0.0,4.0,4.0,8.0
ACT,5467.0,2736.0,2731.0,52.24,52.24,55.81,39.36,102.02,-0.62,-0.18,62.0,0.0,2.0,3.0,5.0
MLI,5444.0,2722.0,2722.0,80.75,80.75,78.1,86.45,358.03,7.98,10.9,92.0,4.0,7.0,6.0,13.0
