Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
EWR,ANC,84,5423.48,421.08,16.06,22.94
EWR,ATL,41967,1198.96,112.19,15.9,14.94
EWR,AUS,3641,2420.45,209.8,17.25,16.08
EWR,AVL,2847,938.25,88.51,6.53,8.17
EWR,BDL,7013,186.68,26.34,13.52,13.67
EWR,BGR,1427,632.47,60.32,14.12,12.09
EWR,BHM,3293,1367.94,126.94,16.34,20.13
EWR,BNA,7851,1203.79,115.01,16.13,17.92
EWR,BOS,27229,321.87,40.14,12.27,13.34
EWR,BQN,1708,2550.8,196.16,26.02,25.53
EWR,BTR,255,1902.24,171.49,1.26,5.95
EWR,BTV,7037,428.08,46.24,16.37,17.5
EWR,BUF,9395,453.83,50.32,16.16,17.34
EWR,BWI,7460,271.98,37.04,16.83,18.38
EWR,CAE,3635,968.82,91.39,13.65,16.18
EWR,CHS,5327,1010.67,94.81,16.95,19.04
EWR,CLE,10323,650.17,68.09,12.42,13.45
EWR,CLT,23936,851.34,84.75,13.56,13.42
EWR,CMH,9173,743.52,75.64,12.51,12.52
EWR,CVG,16031,915.71,95.89,11.97,11.52
EWR,DAB,3497,1422.66,128.85,5.59,5.67
EWR,DAY,4620,857.78,84.85,16.49,19.06
EWR,DCA,14668,320.26,40.48,9.91,10.74
EWR,DEN,12328,2582.99,223.42,7.66,7.95
EWR,DFW,20461,2208.01,194.61,10.09,8.17
EWR,DSM,525,1635.09,148.7,6.11,13.0
EWR,DTW,22454,783.75,85.03,10.01,12.02
EWR,EGE,895,2776.11,244.36,19.09,17.14
EWR,FLL,17844,1713.95,148.25,12.3,9.85
EWR,GRB,1,1218.27,,5.0,
EWR,GRR,2807,973.65,94.98,8.41,9.42
EWR,GSO,7818,717.77,70.87,16.63,16.73
EWR,GSP,4931,955.95,90.96,15.01,15.29
EWR,GUC,16,2808.3,253.19,2.62,2.75
EWR,HDN,123,2780.94,245.13,4.74,9.14
EWR,HNL,1831,7985.55,608.71,16.65,11.97
EWR,HOU,205,2270.78,203.57,12.52,20.5
EWR,HPN,387,56.33,17.35,1.27,-4.66
EWR,HSV,966,1297.13,121.86,6.1,7.14
EWR,IAD,22073,342.79,46.48,14.71,14.49
EWR,IAH,17798,2253.08,193.17,12.27,9.21
EWR,IND,8299,1036.41,101.51,11.9,13.15
EWR,JAC,6,3014.29,259.33,17.83,26.0
EWR,JAN,115,1697.85,150.78,24.46,31.07
EWR,JAX,7481,1321.27,118.38,10.83,9.49
EWR,JFK,5,33.8,310.2,91.2,383.6
EWR,LAN,1,896.4,,78.0,
EWR,LAS,13718,3584.0,294.73,11.08,10.43
EWR,LAX,18556,3949.32,323.21,10.5,9.51
EWR,LEX,1556,946.29,92.44,21.07,24.5
EWR,LIT,1433,1720.38,153.89,30.27,27.65
EWR,MCI,6891,1757.4,160.83,13.68,13.47
EWR,MCO,21991,1509.56,131.82,10.83,9.16
EWR,MDW,10636,1144.24,110.04,10.66,11.89
EWR,MEM,7304,1522.44,142.08,9.1,8.73
EWR,MHT,6982,336.35,40.13,12.67,13.51
EWR,MIA,14593,1747.74,149.94,11.7,9.42
