IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
BGM,42.20848278,-75.97961361,13529.0,6781.0,6748,58.36,58.36,57.91,47.36,398.96,4.43,6.21,252.0,3.0,2.0,2,4.0
PSC,46.26468028,-119.1190292,13510.0,6772.0,6738,66.69,66.69,65.13,55.95,621.0,4.49,9.29,100.0,19.0,3.0,3,6.0
GFK,47.949255,-97.17611111,13473.0,6764.0,6709,62.43,62.43,61.61,50.69,457.05,1.83,4.46,176.0,4.0,1.0,1,2.0
MFR,42.37422778,-122.8734978,13289.0,6665.0,6624,68.7,68.7,69.71,56.77,529.47,11.31,11.18,63.0,9.0,1.0,1,2.0
CAK,40.91631194,-81.44246556,13249.0,6646.0,6603,36.57,36.57,37.39,27.1,146.29,3.94,1.98,171.0,8.0,4.0,4,8.0
STX,17.70188889,-64.79855556,13189.0,6688.0,6501,102.02,102.02,101.33,67.6,962.82,1.89,7.41,138.0,24.0,8.0,4,12.0
IDA,43.51455556,-112.0701667,12569.0,6295.0,6274,48.83,48.83,48.34,33.68,330.93,3.46,7.13,97.0,4.0,3.0,2,5.0
MOT,48.25937778,-101.2803339,11834.0,5944.0,5890,76.36,76.36,75.51,67.62,672.76,2.25,4.63,61.0,11.0,2.0,3,5.0
ITH,42.49102778,-76.45844444,11480.0,5750.0,5730,45.6,45.6,44.18,31.78,259.84,2.14,4.66,205.0,12.0,2.0,2,4.0
LSE,43.87937972,-91.25653778,11235.0,5647.0,5588,42.64,42.64,42.77,29.33,193.19,0.71,1.85,145.0,7.0,2.0,2,4.0
MRY,36.5869825,-121.8429478,10761.0,5392.0,5369,32.44,32.44,31.35,21.17,123.92,7.62,7.35,102.0,4.0,1.0,1,2.0
VPS,30.48325,-86.5254,10749.0,5400.0,5349,78.06,78.06,78.43,64.93,593.85,1.07,4.09,75.0,13.0,1.0,1,2.0
HLN,46.60681806,-111.9827503,10417.0,5209.0,5208,60.57,60.57,59.22,51.29,508.91,6.7,9.51,62.0,17.0,4.0,4,8.0
FCA,48.31140472,-114.2550694,9972.0,4986.0,4986,69.77,69.77,69.12,62.75,630.52,7.0,10.34,60.0,35.0,5.0,5,10.0
OME,64.51220222,-165.4452458,9764.0,4881.0,4883,71.57,71.57,69.17,66.53,677.52,9.49,11.27,137.0,81.0,2.0,2,4.0
OTZ,66.88467694,-162.5985497,9655.0,4825.0,4830,69.89,69.89,67.57,59.86,638.03,9.06,10.12,162.0,72.0,2.0,2,4.0
TVC,44.74144472,-85.582235,9385.0,4707.0,4678,54.52,54.52,53.32,39.6,333.13,4.96,6.53,80.0,9.0,1.0,1,2.0
BET,60.77977639,-161.8379975,8823.0,4414.0,4409,65.24,65.24,62.38,57.81,596.28,8.75,10.5,138.0,26.0,3.0,1,4.0
BRW,71.2854475,-156.7660019,8110.0,4050.0,4060,82.85,82.85,81.12,75.65,834.03,8.83,11.01,149.0,60.0,3.0,3,6.0
EGE,39.64256778,-106.9176953,7809.0,3923.0,3886,136.91,136.91,136.74,113.59,1350.36,12.4,13.22,77.0,51.0,12.0,12,24.0
PFN,30.21208333,-85.68280556,7684.0,3850.0,3834,63.91,63.91,59.36,52.03,397.51,6.08,5.94,46.0,2.0,1.0,1,2.0
PHF,37.13189556,-76.4929875,7237.0,3635.0,3602,70.79,70.79,74.31,59.18,478.46,3.27,3.91,114.0,4.0,2.0,2,4.0
CDV,60.49183389,-145.4776503,7143.0,3572.0,3571,43.28,43.28,41.03,33.62,300.24,7.47,12.87,46.0,6.0,2.0,2,4.0
YAK,59.50336056,-139.6602261,7135.0,3568.0,3567,45.41,45.41,43.31,34.92,331.49,10.69,11.2,33.0,66.0,2.0,2,4.0
WRG,56.48432583,-132.3698242,7056.0,3529.0,3527,26.29,26.29,23.67,16.68,86.87,12.04,13.93,163.0,76.0,2.0,2,4.0
PSG,56.80165194,-132.9452781,7043.0,3524.0,3519,28.52,28.52,26.32,18.85,106.49,12.88,15.68,209.0,63.0,3.0,2,5.0
HVN,41.26389889,-72.8871,6904.0,3488.0,3416,137.07,137.07,139.62,122.67,1240.57,8.76,4.99,203.0,23.0,2.0,2,4.0
HTS,38.36666667,-82.55802778,6458.0,3237.0,3221,48.58,48.58,48.24,37.72,308.99,4.65,2.41,163.0,3.0,1.0,1,2.0
KOA,19.73876583,-156.0456314,6352.0,3182.0,3170,220.03,220.03,222.64,256.24,2951.74,7.34,8.4,4.0,12.0,3.0,4,7.0
EVV,38.03799139,-87.53062667,6317.0,3166.0,3151,70.85,70.85,70.41,66.23,605.26,4.63,5.0,91.0,3.0,3.0,3,6.0
DET,42.40919444,-83.00986111,6213.0,3140.0,3073,70.21,70.21,71.34,,528.21,6.55,2.82,38.0,14.0,2.0,2,4.0
BRO,25.90683333,-97.42586111,6101.0,3066.0,3035,65.85,65.85,63.95,52.0,495.68,2.23,2.44,31.0,9.0,1.0,2,3.0
